CustomerID,Gender,Age,Annual_Income_k,Spending_Score,Cluster
116,Female,42,86.4,88,1
117,Female,41,96.1,78,1
118,Male,30,62.0,64,2
119,Female,24,93.3,35,0
120,Female,53,21.1,10,4
121,Female,62,75.8,32,0
122,Female,37,60.2,49,2
123,Male,18,92.2,76,1
124,Male,25,109.6,21,0
125,Male,63,90.9,91,1
126,Male,33,27.4,22,4
127,Female,31,83.7,89,1
128,Female,29,105.1,96,1
129,Male,68,33.0,76,3
130,Female,40,20.1,79,3
131,Male,32,25.3,89,3
132,Male,45,76.5,97,1
133,Male,51,53.7,46,2
134,Male,19,81.9,72,1
135,Female,49,61.6,51,2
136,Male,40,44.7,37,2
137,Female,39,23.3,93,3
138,Female,68,87.9,8,0
139,Male,42,23.8,18,4
140,Female,39,15.0,80,3
141,Female,39,23.8,86,3
142,Male,66,104.8,29,0
143,Female,69,23.7,11,4
144,Male,59,110.6,85,1
145,Male,23,90.1,85,1
146,Male,32,26.0,79,3
147,Female,60,22.1,16,4
148,Female,54,24.8,76,3
149,Male,50,49.3,51,2
150,Male,25,23.7,92,3
151,Female,61,15.0,89,3
152,Male,61,100.0,68,1
153,Male,22,87.3,82,1
154,Female,56,78.7,79,1
155,Female,21,46.1,68,2
156,Male,23,97.5,95,1
157,Female,62,28.6,11,4
158,Female,49,85.8,24,0
159,Male,69,18.9,26,4
160,Female,47,23.8,17,4
161,Male,64,95.7,89,1
162,Female,52,87.1,29,0
163,Female,57,81.4,25,0
164,Female,69,94.7,18,0
165,Male,33,57.6,37,2
166,Female,30,97.4,84,1
167,Male,67,85.8,28,0
168,Male,59,49.4,36,2
169,Male,47,17.2,85,3
170,Female,36,18.6,94,3
171,Female,34,38.3,67,3
172,Male,36,56.7,49,2
173,Female,45,85.6,88,1
174,Male,43,89.7,94,1
175,Female,54,25.6,81,3
176,Male,43,87.1,20,0
177,Female,40,26.5,66,3
178,Male,26,79.2,26,0
179,Female,29,91.4,19,0
180,Male,18,90.1,88,1
181,Male,18,22.3,14,4
182,Male,64,26.0,12,4
183,Female,51,58.3,33,2
184,Female,49,98.2,89,1
185,Male,65,92.0,28,0
186,Female,42,33.3,28,4
187,Female,57,75.3,10,0
188,Female,62,21.9,20,4
189,Female,18,27.6,14,4
190,Male,33,25.9,14,4
191,Male,56,85.1,74,1
192,Female,22,20.4,69,3
193,Female,39,82.2,28,0
194,Female,46,82.4,99,1
195,Male,20,93.9,86,1
196,Male,29,83.1,91,1
197,Female,43,85.4,86,1
198,Female,33,110.5,84,1
199,Female,68,64.2,43,2
200,Female,54,89.7,34,0
